vehicle,stops,load_kg,distance_km,time_hr,fuel_cost,toll_cost,driver_cost,sla_penalty,total_cost,carbon_kg,sla_breaches,utilization_pct
1,7,792.96,3721.85,95.58,34212.95,12540.72,14355.06,15875.19,76983.94,755.568,1,99.1
2,3,780.63,2183.62,50.53,14877.13,6243.35,6006.16,4683.77,31810.42,316.21,1,97.6
3,4,793.51,5498.18,139.68,47609.11,10317.12,20133.15,31925.4,109984.79,1126.512,1,99.2
4,4,747.96,4256.22,91.08,36041.33,10262.85,12295.18,10464.2,69063.56,652.774,2,93.5
5,3,705.92,1900.27,45.4,12686.87,4937.11,5413.16,0.0,23037.15,295.028,0,88.2
